0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
62174-52175,1B,Matt,Matt Olson,Olson,12.756122199856506,98.0,4000,OAK@LAA,OAK,LAA,,,,,,C/1B/UTIL,0.0,0.0
62174-52176,1B/2B,Max,Max Muncy,Muncy,12.617046009410512,88.0,3700,LAD@ARI,LAD,ARI,,,,,,C/1B/2B/UTIL,0.0,0.0
62174-79401,C,Will,Will Smith,Smith,10.06904747372582,84.0,3500,LAD@ARI,LAD,ARI,,,,,,C/1B/UTIL,0.0,0.0
62174-12928,1B,Eric,Eric Hosmer,Hosmer,8.250526187294406,95.0,3300,COL@SD,SD,COL,,,,,,C/1B/UTIL,0.0,0.0
62174-13436,C,Max,Max Stassi,Stassi,9.86808484665891,47.0,3100,OAK@LAA,LAA,OAK,,,,,,C/1B/UTIL,0.0,0.0
62174-79159,1B/OF,Cody,Cody Bellinger,Bellinger,8.367391171662703,46.0,3100,LAD@ARI,LAD,ARI,,,,,,C/1B/OF/UTIL,0.0,0.0
62174-118210,1B/2B,Jake,Jake Cronenworth,Cronenworth,10.470588235294116,102.0,2900,COL@SD,SD,COL,,,,,,C/1B/2B/UTIL,0.0,0.0
62174-38218,1B,Christian,Christian Walker,Walker,7.395312309265138,64.0,2800,LAD@ARI,ARI,LAD,,,,,,C/1B/UTIL,0.0,0.0
62174-71507,1B,Yuli,Yuli Gurriel,Gurriel,10.665263286389802,95.0,2800,HOU@SF,HOU,SF,,,,,,C/1B/UTIL,0.0,0.0
62174-82530,1B/OF,Pavin,Pavin Smith,Smith,8.358333587646483,96.0,2700,LAD@ARI,ARI,LAD,,,,,,C/1B/OF/UTIL,0.0,0.0
62174-5221,1B/3B,Asdrubal,Asdrubal Cabrera,Cabrera,7.7343285404034505,67.0,2700,LAD@ARI,ARI,LAD,,,,,,C/1B/3B/UTIL,0.0,0.0
62174-12462,1B,Mitch,Mitch Moreland,Moreland,6.2865673463736025,67.0,2500,OAK@LAA,OAK,LAA,,,,,,C/1B/UTIL,0.0,0.0
62174-82624,C,Sean,Sean Murphy,Murphy,8.683529124540442,85.0,2400,OAK@LAA,OAK,LAA,,,,,,C/1B/UTIL,0.0,0.0
62174-54307,C,Elias,Elias Diaz,Diaz,7.101666768391928,60.0,2300,COL@SD,COL,SD,,,,,,C/1B/UTIL,0.0,0.0
62174-5177,1B,Albert,Albert Pujols,Pujols,6.95753416296554,73.0,2200,LAD@ARI,LAD,ARI,,,,,,C/1B/UTIL,0.0,0.0
62174-13253,C,Martin,Martin Maldonado,Maldonado,6.613513431033572,74.0,2200,HOU@SF,HOU,SF,,,,,,C/1B/UTIL,0.0,0.0
62174-116450,1B/OF,Seth,Seth Brown,Brown,6.524050941950159,79.0,2100,OAK@LAA,OAK,LAA,,,,,,C/1B/OF/UTIL,0.0,0.0
62174-109803,C,Austin,Austin Nola,Nola,6.854545593261719,22.0,2100,COL@SD,SD,COL,,,,,,C/1B/UTIL,0.0,0.0
62174-79776,C,Dom,Dom Nunez,Nunez,7.0672412740773165,58.0,2100,COL@SD,COL,SD,,,,,,C/1B/UTIL,0.0,0.0
62174-17012,C,Curt,Curt Casali,Casali,6.502040940888075,49.0,2000,HOU@SF,SF,HOU,,,,,,C/1B/UTIL,0.0,0.0
62174-85254,C,Joey,Joey Bart,Bart,6.3499999046325675,2.0,2000,HOU@SF,SF,HOU,,,,,,C/1B/UTIL,0.0,0.0
62174-38297,C,Austin,Austin Barnes,Barnes,6.4018865621314855,53.0,2000,LAD@ARI,LAD,ARI,,,,,,C/1B/UTIL,0.0,0.0
62174-101835,C,Austin,Austin Allen,Allen,9.350000381469727,2.0,2000,OAK@LAA,OAK,LAA,,,,,,C/1B/UTIL,0.0,0.0
62174-80848,C,Victor,Victor Caratini,Caratini,6.239024464677019,82.0,2000,COL@SD,SD,COL,,,,,,C/1B/UTIL,0.0,0.0
