0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
62174-82440,OF,Shohei,Shohei Ohtani,Ohtani,14.82727297387942,99.0,4600,OAK@LAA,LAA,OAK,,,,,,OF/UTIL,0.0,0.0
62174-13423,OF,Starling,Starling Marte,Marte,13.064062118530273,64.0,3900,OAK@LAA,OAK,LAA,,,,,,OF/UTIL,0.0,0.0
62174-82575,OF,Yordan,Yordan Alvarez,Alvarez,12.145348837209307,86.0,3900,HOU@SF,HOU,SF,,,,,,OF/UTIL,0.0,0.0
62174-38561,2B/OF,Chris,Chris Taylor,Taylor,11.609091402304294,99.0,3900,LAD@ARI,LAD,ARI,,,,,,2B/OF/UTIL,0.0,0.0
62174-79125,OF,Kyle,Kyle Tucker,Tucker,11.870000542534724,90.0,3700,HOU@SF,HOU,SF,,,,,,OF/UTIL,0.0,0.0
62174-79175,OF,Trent,Trent Grisham,Grisham,10.340789794921877,76.0,3400,COL@SD,SD,COL,,,,,,OF/UTIL,0.0,0.0
62174-6273,OF,Michael,Michael Brantley,Brantley,10.449367088607596,79.0,3300,HOU@SF,HOU,SF,,,,,,OF/UTIL,0.0,0.0
62174-21666,OF,Mark,Mark Canha,Canha,11.578823673023898,85.0,3100,OAK@LAA,OAK,LAA,,,,,,OF/UTIL,0.0,0.0
62174-13487,OF,Tommy,Tommy Pham,Pham,9.709901110960706,101.0,3100,COL@SD,SD,COL,,,,,,OF/UTIL,0.0,0.0
62174-83155,OF,Ramon,Ramon Laureano,Laureano,10.345783279602788,83.0,3100,OAK@LAA,OAK,LAA,,,,,,OF/UTIL,0.0,0.0
62174-53033,OF,Mike,Mike Yastrzemski,Yastrzemski,10.366666521344866,84.0,3100,HOU@SF,SF,HOU,,,,,,OF/UTIL,0.0,0.0
62174-79159,1B/OF,Cody,Cody Bellinger,Bellinger,8.367391171662703,46.0,3100,LAD@ARI,LAD,ARI,,,,,,C/1B/OF/UTIL,0.0,0.0
62174-53586,OF,David,David Peralta,Peralta,8.248958587646483,96.0,3000,LAD@ARI,ARI,LAD,,,,,,OF/UTIL,0.0,0.0
62174-6197,OF,Justin,Justin Upton,Upton,10.033803160761444,71.0,2700,OAK@LAA,LAA,OAK,,,,,,OF/UTIL,0.0,0.0
62174-82530,1B/OF,Pavin,Pavin Smith,Smith,8.358333587646483,96.0,2700,LAD@ARI,ARI,LAD,,,,,,C/1B/OF/UTIL,0.0,0.0
62174-60635,OF,Raimel,Raimel Tapia,Tapia,9.919387505978953,98.0,2700,COL@SD,COL,SD,,,,,,OF/UTIL,0.0,0.0
62174-70898,2B/OF,Adam,Adam Frazier,Frazier,9.722772277227724,101.0,2700,COL@SD,SD,COL,,,,,,2B/OF/UTIL,0.0,0.0
62174-13229,OF,Charlie,Charlie Blackmon,Blackmon,8.77500025431315,96.0,2700,COL@SD,COL,SD,,,,,,OF/UTIL,0.0,0.0
62174-12970,OF,AJ,AJ Pollock,Pollock,9.167532784598214,77.0,2600,LAD@ARI,LAD,ARI,,,,,,OF/UTIL,0.0,0.0
62174-13924,OF,Kole,Kole Calhoun,Calhoun,6.3230766883263225,26.0,2500,LAD@ARI,ARI,LAD,,,,,,OF/UTIL,0.0,0.0
62174-82563,2B/OF,Garrett,Garrett Hampson,Hampson,7.78631591796875,95.0,2500,COL@SD,COL,SD,,,,,,2B/OF/UTIL,0.0,0.0
62174-12931,OF,Wil,Wil Myers,Myers,8.38191515334109,94.0,2400,COL@SD,SD,COL,,,,,,OF/UTIL,0.0,0.0
62174-13706,OF,Adam,Adam Eaton,Eaton,7.554167005750867,72.0,2400,OAK@LAA,LAA,OAK,,,,,,OF/UTIL,0.0,0.0
62174-97257,OF,Myles,Myles Straw,Straw,8.161224365234375,98.0,2400,HOU@SF,HOU,SF,,,,,,OF/UTIL,0.0,0.0
62174-80485,OF,Austin,Austin Slater,Slater,6.1647058823529415,85.0,2300,HOU@SF,SF,HOU,,,,,,OF/UTIL,0.0,0.0
62174-82533,OF,Daulton,Daulton Varsho,Varsho,7.128888617621528,45.0,2300,LAD@ARI,ARI,LAD,,,,,,OF/UTIL,0.0,0.0
62174-79154,OF,Brandon,Brandon Marsh,Marsh,6.145454406738281,11.0,2300,OAK@LAA,LAA,OAK,,,,,,OF/UTIL,0.0,0.0
62174-38952,OF,Alex,Alex Dickerson,Dickerson,6.279487022986778,78.0,2200,HOU@SF,SF,HOU,,,,,,OF/UTIL,0.0,0.0
62174-135216,OF,Chas,Chas McCormick,McCormick,8.093650696769593,63.0,2200,HOU@SF,HOU,SF,,,,,,OF/UTIL,0.0,0.0
62174-14000,OF,Darin,Darin Ruf,Ruf,7.03611119588216,72.0,2200,HOU@SF,SF,HOU,,,,,,OF/UTIL,0.0,0.0
62174-68471,2B/OF,Tony,Tony Kemp,Kemp,6.776829417158918,82.0,2200,OAK@LAA,OAK,LAA,,,,,,2B/OF/UTIL,0.0,0.0
62174-13262,2B/OF,Jurickson,Jurickson Profar,Profar,6.575000127156574,96.0,2200,COL@SD,SD,COL,,,,,,2B/OF/UTIL,0.0,0.0
62174-13917,OF,Juan,Juan Lagares,Lagares,6.217910538858442,67.0,2100,OAK@LAA,LAA,OAK,,,,,,OF/UTIL,0.0,0.0
62174-116450,1B/OF,Seth,Seth Brown,Brown,6.524050941950159,79.0,2100,OAK@LAA,OAK,LAA,,,,,,C/1B/OF/UTIL,0.0,0.0
62174-79238,OF,Steven,Steven Duggar,Duggar,7.730263157894738,76.0,2100,HOU@SF,SF,HOU,,,,,,OF/UTIL,0.0,0.0
