0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
62174-79393,SS,Fernando,Fernando Tatis Jr.,Tatis Jr.,15.972092739371364,86.0,4500,COL@SD,SD,COL,,,,,,SS/UTIL,0.0,0.0
62174-38614,SS,Carlos,Carlos Correa,Correa,11.576343823504706,93.0,3400,HOU@SF,HOU,SF,,,,,,SS/UTIL,0.0,0.0
62174-52158,SS,Trevor,Trevor Story,Story,10.826966017819524,89.0,3400,COL@SD,COL,SD,,,,,,SS/UTIL,0.0,0.0
62174-79156,2B/SS,David,David Fletcher,Fletcher,8.663917777464563,97.0,2900,OAK@LAA,LAA,OAK,,,,,,2B/SS/UTIL,0.0,0.0
62174-12919,SS,Jose,Jose Iglesias,Iglesias,8.084091186523438,88.0,2600,OAK@LAA,LAA,OAK,,,,,,SS/UTIL,0.0,0.0
62174-68582,2B/SS,Brendan,Brendan Rodgers,Rodgers,8.296078551049327,51.0,2600,COL@SD,COL,SD,,,,,,2B/SS/UTIL,0.0,0.0
62174-12961,SS,Brandon,Brandon Crawford,Crawford,11.684337202324928,83.0,2500,HOU@SF,SF,HOU,,,,,,SS/UTIL,0.0,0.0
62174-82613,SS,Thairo,Thairo Estrada,Estrada,7.9,25.0,2400,HOU@SF,SF,HOU,,,,,,SS/UTIL,0.0,0.0
62174-5359,SS,Elvis,Elvis Andrus,Andrus,6.4316829265934405,101.0,2400,OAK@LAA,OAK,LAA,,,,,,SS/UTIL,0.0,0.0
62174-13412,2B/SS,Donovan,Donovan Solano,Solano,6.939436791648327,71.0,2200,HOU@SF,SF,HOU,,,,,,2B/SS/UTIL,0.0,0.0
62174-21612,SS,Nick,Nick Ahmed,Ahmed,6.142222086588543,90.0,2100,LAD@ARI,ARI,LAD,,,,,,SS/UTIL,0.0,0.0
