Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
62584-13966,3B,Kyle,Kyle Seager,Seager,9.99642835344587,112,9500,TEX@SEA,SEA,TEX,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-73159,OF,Mitch,Mitch Haniger,Haniger,11.313761019925458,109,9000,TEX@SEA,SEA,TEX,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-85520,OF,Adolis,Adolis Garcia,Garcia,10.847059062882966,102,8500,TEX@SEA,TEX,SEA,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-101842,2B,Ty,Ty France,France,9.512499882624699,104,8000,TEX@SEA,SEA,TEX,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-52179,SS,J.P.,J.P. Crawford,Crawford,8.052678789411273,112,7500,TEX@SEA,SEA,TEX,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-82977,3B,Isiah,Isiah Kiner-Falefa,Kiner-Falefa,8.430357251848493,112,7500,TEX@SEA,TEX,SEA,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-85285,1B,Nathaniel,Nathaniel Lowe,Lowe,8.957272616299717,110,7000,TEX@SEA,TEX,SEA,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-116339,3B,Abraham,Abraham Toro,Toro,9.956249872843424,48,7000,TEX@SEA,SEA,TEX,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-101753,2B,Dylan,Dylan Moore,Moore,7.9113637750799,88,7000,TEX@SEA,SEA,TEX,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-79234,OF,Kyle,Kyle Lewis,Lewis,8.402777777777779,36,6500,TEX@SEA,SEA,TEX,IL,Knee,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-79896,C,Luis,Luis Torrens,Torrens,7.631818366773201,66,6500,TEX@SEA,SEA,TEX,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-79267,2B,Andy,Andy Ibanez,Ibanez,5.8108692998471465,46,6500,TEX@SEA,TEX,SEA,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-102554,C,Cal,Cal Raleigh,Raleigh,5.644444359673394,18,6000,TEX@SEA,SEA,TEX,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-102398,OF,Jarred,Jarred Kelenic,Kelenic,6.6851066427027925,47,6000,TEX@SEA,SEA,TEX,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62584-101837,OF,Jason,Jason Martin,Martin,4.033333248562283,36,5500,TEX@SEA,TEX,SEA,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
