Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
62860-13719,3B,Nolan,Nolan Arenado,Arenado,11.031304135529892,115,9500,MIL@STL,STL,MIL,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-12968,1B,Paul,Paul Goldschmidt,Goldschmidt,10.72241421403556,116,9000,MIL@STL,STL,MIL,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-21609,OF,Christian,Christian Yelich,Yelich,10.06,75,8500,MIL@STL,MIL,STL,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-60655,SS,Willy,Willy Adames,Adames,10.384210954632675,114,8000,MIL@STL,MIL,STL,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-12985,OF,Avisail,Avisail Garcia,Garcia,10.351922842172476,104,7500,MIL@STL,MIL,STL,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-12434,OF,Lorenzo,Lorenzo Cain,Cain,9.210869830587637,46,7000,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-79400,OF,Dylan,Dylan Carlson,Carlson,9.392857142857142,112,7000,MIL@STL,STL,MIL,IL,Wrist,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-68547,OF,Tyler,Tyler O'Neill,O'Neill,10.283158151726974,95,6500,MIL@STL,STL,MIL,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-13239,3B,Eduardo,Eduardo Escobar,Escobar,10.380530973451327,113,6500,MIL@STL,MIL,STL,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-108450,2B,Tommy,Tommy Edman,Edman,8.99310302734375,116,6000,MIL@STL,STL,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-16948,2B,Kolten,Kolten Wong,Wong,10.116883116883116,77,6000,MIL@STL,MIL,STL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-80462,SS,Paul,Paul DeJong,DeJong,8.616666521344866,84,5500,MIL@STL,STL,MIL,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-71217,C,Omar,Omar Narvaez,Narvaez,8.960000271267361,90,5500,MIL@STL,MIL,STL,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-79249,OF,Harrison,Harrison Bader,Bader,9.318643860897776,59,5000,MIL@STL,STL,MIL,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-79277,1B,Rowdy,Rowdy Tellez,Tellez,6.6125,80,5000,MIL@STL,MIL,STL,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-79225,3B,Luis,Luis Urias,Urias,9.551375922806766,109,4500,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-5181,C,Yadier,Yadier Molina,Molina,7.966666666666667,90,4500,MIL@STL,STL,MIL,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-38973,OF,Tyrone,Tyrone Taylor,Taylor,7.829113924050633,79,4500,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-54080,OF,Austin,Austin Dean,Dean,4.489473844829359,19,4000,MIL@STL,STL,MIL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-148547,OF,Scott,Scott Hurst,Hurst,0,7,4000,MIL@STL,STL,MIL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-52995,C,Luke,Luke Maile,Maile,3.8375000953674316,8,4000,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-68546,2B,Jose,Jose Rondon,Rondon,3.173809596470424,42,4000,MIL@STL,STL,MIL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-13892,3B,Hernan,Hernan Perez,Perez,1.2199999809265136,10,4000,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-79173,OF,Corey,Corey Ray,Ray,6.199999809265137,1,4000,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-21573,OF,Jace,Jace Peterson,Peterson,8.650847354177701,59,4000,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-21637,OF,Jackie,Jackie Bradley Jr.,Bradley Jr.,6.149504708771659,101,4000,MIL@STL,MIL,STL,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-101828,OF,Troy,Troy Stokes Jr.,Stokes Jr.,4.300000190734863,8,4000,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-72264,SS,Max,Max Moroff,Moroff,1.0833333333333333,6,4000,MIL@STL,STL,MIL,IL,Shoulder,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-38282,1B,Daniel,Daniel Vogelbach,Vogelbach,6.098507553783815,67,4000,MIL@STL,MIL,STL,IL,Hamstring,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-102411,C,Andrew,Andrew Knizner,Knizner,4.840909090909091,44,4000,MIL@STL,STL,MIL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-79247,2B,Edmundo,Edmundo Sosa,Sosa,4.868354507639438,79,4000,MIL@STL,STL,MIL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-53007,3B,Daniel,Daniel Robertson,Robertson,3.02,50,4000,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-118222,2B,Mark,Mark Mathias,Mathias,4.087500095367432,16,4000,MIL@STL,MIL,STL,IL,Shoulder,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-154711,OF,Lars,Lars Nootbaar,Nootbaar,5.366666521344866,21,4000,MIL@STL,STL,MIL,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-79127,OF,Derek,Derek Fisher,Fisher,4.675000190734863,4,4000,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-82646,OF,Justin,Justin Williams,Williams,4.264705882352941,51,4000,MIL@STL,STL,MIL,IL,Hamstring,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62860-13209,C,Manny,Manny Pina,Pina,6.452727161754261,55,4000,MIL@STL,MIL,STL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
