Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
62861-52176,1B,Max,Max Muncy,Muncy,12.712621596253033,103,9500,PIT@LAD,LAD,PIT,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-65881,SS,Trea,Trea Turner,Turner,12.357008889456775,107,9000,PIT@LAD,LAD,PIT,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-39151,OF,Mookie,Mookie Betts,Betts,12.754022707884339,87,9000,PIT@LAD,LAD,PIT,IL,Hip,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-79230,OF,Bryan,Bryan Reynolds,Reynolds,11.244827796672952,116,8500,PIT@LAD,PIT,LAD,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-38412,SS,Corey,Corey Seager,Seager,10.677358951208726,53,8000,PIT@LAD,LAD,PIT,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-6312,3B,Justin,Justin Turner,Turner,10.996330051247133,109,7500,PIT@LAD,LAD,PIT,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-79216,3B,Ke'Bryan,Ke'Bryan Hayes,Hayes,8.293845778245192,65,7500,PIT@LAD,PIT,LAD,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-79401,C,Will,Will Smith,Smith,10.419387505978953,98,7000,PIT@LAD,LAD,PIT,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-79159,1B,Cody,Cody Bellinger,Bellinger,8.860655737704919,61,7000,PIT@LAD,LAD,PIT,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-52168,1B,Colin,Colin Moran,Moran,7.475862174198546,58,6500,PIT@LAD,PIT,LAD,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-38561,2B,Chris,Chris Taylor,Taylor,11.423477836277174,115,6500,PIT@LAD,LAD,PIT,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-17382,OF,Gregory,Gregory Polanco,Polanco,7.503092657659471,97,6000,PIT@LAD,PIT,LAD,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-12970,OF,AJ,AJ Pollock,Pollock,9.70978247601053,92,6000,PIT@LAD,LAD,PIT,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-70435,OF,Ben,Ben Gamel,Gamel,6.1400002872242645,85,5500,PIT@LAD,PIT,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62861-79218,SS,Kevin,Kevin Newman,Newman,5.592592592592593,108,5500,PIT@LAD,PIT,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
