Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
62923-70562,OF,Whit,Whit Merrifield,Merrifield,10.697499593098959,120,9500,KC@CHC,KC,CHC,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-24529,OF,Rafael,Rafael Ortega,Ortega,7.281538273737981,65,9000,KC@CHC,CHC,KC,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-13266,C,Salvador,Salvador Perez,Perez,10.352941176470589,119,8500,KC@CHC,KC,CHC,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-21887,C,Willson,Willson Contreras,Contreras,8.93786384064017,103,8500,KC@CHC,CHC,KC,IL,Knee,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-68495,OF,Andrew,Andrew Benintendi,Benintendi,8.764515866515456,93,7500,KC@CHC,KC,CHC,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-79092,OF,Ian,Ian Happ,Happ,6.664220407468464,109,7500,KC@CHC,CHC,KC,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-52162,3B,Hunter,Hunter Dozier,Dozier,7.547115619365986,104,7000,KC@CHC,KC,CHC,DTD,Illness,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-85250,OF,Frank,Frank Schwindel,Schwindel,10.3125,24,7000,KC@CHC,CHC,KC,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-12310,1B,Carlos,Carlos Santana,Santana,9.188333129882812,120,7000,KC@CHC,KC,CHC,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-85260,3B,Patrick,Patrick Wisdom,Wisdom,9.054794520547945,73,6500,KC@CHC,CHC,KC,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-21074,OF,Michael A.,Michael A. Taylor,Taylor,7.653211121165424,109,6000,KC@CHC,KC,CHC,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-53844,3B,Matt,Matt Duffy,Duffy,5.938333129882812,60,6000,KC@CHC,CHC,KC,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-83051,2B,David,David Bote,Bote,6.656944274902344,72,6000,KC@CHC,CHC,KC,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-102331,2B,Nicky,Nicky Lopez,Lopez,7.411009062320814,109,6000,KC@CHC,KC,CHC,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-82581,OF,Michael,Michael Hermosillo,Hermosillo,12.600000381469727,2,5500,KC@CHC,CHC,KC,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-11129,OF,Jason,Jason Heyward,Heyward,6.305813811546148,86,5500,KC@CHC,CHC,KC,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-79141,1B,Ryan,Ryan O'Hearn,O'Hearn,6.857627222093485,59,5000,KC@CHC,KC,CHC,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-83174,SS,Sergio,Sergio Alcantara,Alcantara,4.8000002260561345,54,5000,KC@CHC,CHC,KC,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-101841,OF,Edward,Edward Olivares,Olivares,7.119999694824219,20,4500,KC@CHC,KC,CHC,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-102485,OF,Kyle,Kyle Isbel,Isbel,5.958333333333333,12,4500,KC@CHC,KC,CHC,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-38247,2B,Hanser,Hanser Alberto,Alberto,4.536144578313253,83,4500,KC@CHC,KC,CHC,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-102381,OF,Greg,Greg Deichmann,Deichmann,2.5833333333333335,6,4500,KC@CHC,CHC,KC,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62923-135277,OF,Johneshwy,Johneshwy Fargas,Fargas,5.226315950092516,19,4500,KC@CHC,CHC,KC,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
