Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
63036-21853,2B,Ketel,Ketel Marte,Marte,10.988889341001157,54,9500,ARI@COL,ARI,COL,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-52158,SS,Trevor,Trevor Story,Story,11.091743119266056,109,9000,ARI@COL,COL,ARI,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-13229,OF,Charlie,Charlie Blackmon,Blackmon,8.856034903690732,116,8500,ARI@COL,COL,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-38965,1B,C.J.,C.J. Cron,Cron,10.734615619365986,104,8500,ARI@COL,COL,ARI,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-113309,2B,Josh,Josh Rojas,Rojas,9.41826923076923,104,8000,ARI@COL,ARI,COL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-68514,3B,Ryan,Ryan McMahon,McMahon,9.90173870584239,115,7500,ARI@COL,COL,ARI,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-53586,OF,David,David Peralta,Peralta,7.715789259525767,114,7000,ARI@COL,ARI,COL,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-82530,1B,Pavin,Pavin Smith,Smith,8.3,110,7000,ARI@COL,ARI,COL,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-5221,3B,Asdrubal,Asdrubal Cabrera,Cabrera,7.892941463694853,85,7000,ARI@COL,ARI,COL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-73871,C,Carson,Carson Kelly,Kelly,8.863636363636363,66,6500,ARI@COL,ARI,COL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-101910,1B,Connor,Connor Joe,Joe,7.6725487802542895,51,6500,ARI@COL,COL,ARI,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-68582,2B,Brendan,Brendan Rodgers,Rodgers,8.943939208984375,66,6500,ARI@COL,COL,ARI,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-38218,1B,Christian,Christian Walker,Walker,7.692592291184414,81,6000,ARI@COL,ARI,COL,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-60635,OF,Raimel,Raimel Tapia,Tapia,9.668868154849646,106,6000,ARI@COL,COL,ARI,IL,Toe,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-54307,C,Elias,Elias Diaz,Diaz,8.297402914468345,77,5500,ARI@COL,COL,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-13924,OF,Kole,Kole Calhoun,Calhoun,6.783333248562283,36,5500,ARI@COL,ARI,COL,IL,Hamstring,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-102279,3B,Drew,Drew Ellis,Ellis,5.141176560345818,17,5000,ARI@COL,ARI,COL,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-101811,OF,Sam,Sam Hilliard,Hilliard,6.818749745686849,48,5000,ARI@COL,COL,ARI,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-82563,2B,Garrett,Garrett Hampson,Hampson,7.385087933456688,114,4500,ARI@COL,COL,ARI,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-82533,C,Daulton,Daulton Varsho,Varsho,7.177048980212603,61,4500,ARI@COL,ARI,COL,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-21612,SS,Nick,Nick Ahmed,Ahmed,6.5899081448896215,109,4500,ARI@COL,ARI,COL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-83195,OF,Yonathan,Yonathan Daza,Daza,5.951086956521739,92,4500,ARI@COL,COL,ARI,IL,Thumb,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-52161,3B,Rio,Rio Ruiz,Ruiz,5,37,4000,ARI@COL,COL,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-104085,2B,Josh,Josh VanMeter,VanMeter,5.6555556309076005,81,4000,ARI@COL,ARI,COL,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-80852,2B,Ildemaro,Ildemaro Vargas,Vargas,3.28,25,4000,ARI@COL,ARI,COL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-102295,OF,Stuart,Stuart Fairchild,Fairchild,1.2399999618530273,10,4000,ARI@COL,ARI,COL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-13407,C,Bryan,Bryan Holaday,Holaday,4.290000152587891,10,4000,ARI@COL,ARI,COL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-79776,C,Dom,Dom Nunez,Nunez,7.231249809265137,64,4000,ARI@COL,COL,ARI,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-102439,3B,Andrew,Andrew Young,Young,4.7377777099609375,45,4000,ARI@COL,ARI,COL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-13799,1B,Matt,Matt Adams,Adams,2.2545453851873223,22,4000,ARI@COL,COL,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-102438,SS,Geraldo,Geraldo Perdomo,Perdomo,3.799999952316284,4,4000,ARI@COL,ARI,COL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-118193,OF,Nick,Nick Heath,Heath,2.154999923706055,20,4000,ARI@COL,ARI,COL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-70518,OF,Taylor,Taylor Motter,Motter,1.6888888676961262,9,4000,ARI@COL,COL,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63036-135288,SS,Alan,Alan Trejo,Trejo,3.2185185750325522,27,4000,ARI@COL,COL,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
