Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
63037-82440,OF,Shohei,Shohei Ohtani,Ohtani,13.700000200115266,122,9500,LAA@CLE,LAA,CLE,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-38976,3B,Jose,Jose Ramirez,Ramirez,13.312612172719595,111,9000,LAA@CLE,CLE,LAA,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-84133,OF,Franmil,Franmil Reyes,Reyes,11.797436053936298,78,8500,LAA@CLE,CLE,LAA,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-12933,OF,Mike,Mike Trout,Trout,12.627777947319878,36,8000,LAA@CLE,LAA,CLE,IL,Calf,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-104483,1B,Jared,Jared Walsh,Walsh,10.396296748408565,108,8000,LAA@CLE,LAA,CLE,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-13436,C,Max,Max Stassi,Stassi,9.190322383757561,62,7500,LAA@CLE,LAA,CLE,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-68589,SS,Amed,Amed Rosario,Rosario,9.240540100647523,111,7000,LAA@CLE,CLE,LAA,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-6197,OF,Justin,Justin Upton,Upton,9.628235581341912,85,7000,LAA@CLE,LAA,CLE,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-97257,OF,Myles,Myles Straw,Straw,8.793277516084558,119,6500,LAA@CLE,CLE,LAA,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-79121,OF,Bobby,Bobby Bradley,Bradley,9.90652200450068,46,6000,LAA@CLE,CLE,LAA,IL,Knee,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-60630,OF,Bradley,Bradley Zimmer,Zimmer,8.033333518288352,66,6000,LAA@CLE,CLE,LAA,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-79156,2B,David,David Fletcher,Fletcher,8.526666768391927,120,6000,LAA@CLE,LAA,CLE,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-82580,OF,Jo,Jo Adell,Adell,8.077777438693577,18,5500,LAA@CLE,LAA,CLE,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-79151,3B,Taylor,Taylor Ward,Ward,8.725397019159226,63,5500,LAA@CLE,LAA,CLE,IL,Ribs,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-104629,SS,Jack,Jack Mayfield,Mayfield,6.235294117647059,51,5500,LAA@CLE,LAA,CLE,,,,,9,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-12919,SS,Jose,Jose Iglesias,Iglesias,7.771818403764205,110,5500,LAA@CLE,LAA,CLE,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-13520,3B,Phil,Phil Gosselin,Gosselin,6.9555553860134545,72,5000,LAA@CLE,LAA,CLE,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-12123,C,Wilson,Wilson Ramos,Ramos,7.682926829268292,41,5000,LAA@CLE,CLE,LAA,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-53993,OF,Harold,Harold Ramirez,Ramirez,7.575000160618832,76,5000,LAA@CLE,CLE,LAA,IL,Knee,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-83143,OF,Oscar,Oscar Mercado,Mercado,6.914634146341464,41,4500,LAA@CLE,CLE,LAA,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-13917,OF,Juan,Juan Lagares,Lagares,5.675308792679398,81,4500,LAA@CLE,LAA,CLE,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-38004,C,Austin,Austin Hedges,Hedges,5.285714285714286,63,4500,LAA@CLE,CLE,LAA,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-79112,3B,Yu,Yu Chang,Chang,4.93114734086834,61,4000,LAA@CLE,CLE,LAA,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-13706,OF,Adam,Adam Eaton,Eaton,6.830587948069853,85,4000,LAA@CLE,LAA,CLE,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-81869,C,Chad,Chad Wallach,Wallach,3.972727342085405,22,4000,LAA@CLE,LAA,CLE,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-135314,SS,Ernie,Ernie Clement,Clement,5.58000008719308,35,4000,LAA@CLE,CLE,LAA,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-5077,OF,Dexter,Dexter Fowler,Fowler,5.2999997820172995,7,4000,LAA@CLE,LAA,CLE,IL,Knee,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-11989,OF,Jon,Jon Jay,Jay,4.979999923706055,5,4000,LAA@CLE,LAA,CLE,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-53476,OF,Scott,Scott Schebler,Schebler,2.3999998910086497,14,4000,LAA@CLE,LAA,CLE,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-82661,OF,Daniel,Daniel Johnson,Johnson,5.25,20,4000,LAA@CLE,CLE,LAA,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-21165,C,Roberto,Roberto Perez,Perez,6.957142857142857,35,4000,LAA@CLE,CLE,LAA,IL,Shoulder,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-11311,C,Drew,Drew Butera,Butera,2.7250000635782876,12,4000,LAA@CLE,LAA,CLE,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63037-5104,1B,Pablo,Pablo Sandoval,Sandoval,2.72028981084409,69,4000,LAA@CLE,CLE,LAA,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
