Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
63091-79393,SS,Fernando,Fernando Tatis Jr.,Tatis Jr.,15.806383498171543,94,9500,LAD@SD,SD,LAD,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-65881,SS,Trea,Trea Turner,Turner,12.41261305250563,111,9000,LAD@SD,LAD,SD,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-39151,OF,Mookie,Mookie Betts,Betts,12.754022707884339,87,9000,LAD@SD,LAD,SD,IL,Hip,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-52176,1B,Max,Max Muncy,Muncy,12.742592140480324,108,8500,LAD@SD,LAD,SD,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-13929,3B,Manny,Manny Machado,Machado,11.667797023967161,118,8500,LAD@SD,SD,LAD,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-38412,SS,Corey,Corey Seager,Seager,10.629310344827585,58,8000,LAD@SD,LAD,SD,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-118210,2B,Jake,Jake Cronenworth,Cronenworth,10.910655537589651,122,7500,LAD@SD,SD,LAD,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-79175,OF,Trent,Trent Grisham,Grisham,10.097938144329897,97,7500,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-6312,3B,Justin,Justin Turner,Turner,10.757017972176534,114,7500,LAD@SD,LAD,SD,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-12928,1B,Eric,Eric Hosmer,Hosmer,8.295689549939386,116,7000,LAD@SD,SD,LAD,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-79401,C,Will,Will Smith,Smith,10.159804400275736,102,7000,LAD@SD,LAD,SD,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-38561,2B,Chris,Chris Taylor,Taylor,11.510924780068278,119,6500,LAD@SD,LAD,SD,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-13487,OF,Tommy,Tommy Pham,Pham,9.098347309207128,121,6000,LAD@SD,SD,LAD,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-70898,2B,Adam,Adam Frazier,Frazier,9.181818181818182,121,6000,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-79159,1B,Cody,Cody Bellinger,Bellinger,8.340909090909092,66,6000,LAD@SD,LAD,SD,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-12931,OF,Wil,Wil Myers,Myers,8.307826299252717,115,5500,LAD@SD,SD,LAD,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-12970,OF,AJ,AJ Pollock,Pollock,9.82187525431315,96,5500,LAD@SD,LAD,SD,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-109803,C,Austin,Austin Nola,Nola,7.37105279219778,38,5000,LAD@SD,SD,LAD,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-52878,OF,Billy,Billy McKinney,McKinney,5.525714401971726,105,4500,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-80848,C,Victor,Victor Caratini,Caratini,5.819791793823242,96,4500,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-5177,1B,Albert,Albert Pujols,Pujols,7.226744186046512,86,4500,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-135307,C,Webster,Webster Rivas,Rivas,5.580952235630581,21,4000,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-118218,2B,Zach,Zach McKinstry,McKinstry,6.6661014880164196,59,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-13262,2B,Jurickson,Jurickson Profar,Profar,6.396078670726103,102,4000,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-104273,C,Anthony,Anthony Bemboom,Bemboom,4.300000190734863,8,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-118227,OF,Jorge,Jorge Ona,Ona,9.319999694824219,5,4000,LAD@SD,SD,LAD,IL,Elbow,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-150096,2B,Ivan,Ivan Castillo,Castillo,3.1666666666666665,3,4000,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-102550,C,Luis,Luis Campusano,Campusano,2.227272727272727,11,4000,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-38297,C,Austin,Austin Barnes,Barnes,5.916393342565318,61,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-53593,OF,Patrick,Patrick Kivlehan,Kivlehan,5.720000076293945,5,4000,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-102363,OF,Luke,Luke Raley,Raley,2.553333282470703,30,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-135274,OF,Zach,Zach Reks,Reks,1.0666666825612385,6,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-38249,OF,Steven,Steven Souza Jr.,Souza Jr.,3.8000001173753004,13,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-13422,OF,Jake,Jake Marisnick,Marisnick,4.93815773411801,76,4000,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-38127,C,Tony,Tony Wolters,Wolters,2.3999998910086497,14,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-79278,2B,Sheldon,Sheldon Neuse,Neuse,3.1878786954012783,33,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-146160,2B,Ha-Seong,Ha-Seong Kim,Kim,5.17422674120087,97,4000,LAD@SD,SD,LAD,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-70453,SS,Andy,Andy Burns,Burns,3.3777777353922525,9,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-84405,OF,John,John Andreoli,Andreoli,2.1999999455043246,7,4000,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-114357,1B,Brian,Brian O'Grady,O'Grady,4.261290519468246,31,4000,LAD@SD,SD,LAD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-79165,2B,Gavin,Gavin Lux,Lux,7.920237949916294,84,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-101821,3B,Edwin,Edwin Rios,Rios,2.5720001220703126,25,4000,LAD@SD,LAD,SD,IL,Shoulder,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63091-101820,1B,Matt,Matt Beaty,Beaty,5.089320506864381,103,4000,LAD@SD,LAD,SD,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
