Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
63201-13423,OF,Starling,Starling Marte,Marte,13.66931845925071,88,9500,NYY@OAK,OAK,NYY,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-52175,1B,Matt,Matt Olson,Olson,12.467213114754099,122,9000,NYY@OAK,OAK,NYY,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-60643,OF,Aaron,Aaron Judge,Judge,11.801769695450774,113,8500,NYY@OAK,NYY,OAK,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-12302,OF,Giancarlo,Giancarlo Stanton,Stanton,10.650943396226415,106,8000,NYY@OAK,NYY,OAK,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-12940,1B,Anthony,Anthony Rizzo,Rizzo,9.805607020297897,107,7500,NYY@OAK,NYY,OAK,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-38321,OF,Joey,Joey Gallo,Gallo,11.298333740234375,120,7500,NYY@OAK,NYY,OAK,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-68544,3B,Matt,Matt Chapman,Chapman,9.342276224275915,123,7000,NYY@OAK,OAK,NYY,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-80838,1B,Luke,Luke Voit,Voit,9.737778049045138,45,7000,NYY@OAK,NYY,OAK,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-13567,2B,DJ,DJ LeMahieu,LeMahieu,9.36749979654948,120,7000,NYY@OAK,NYY,OAK,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-13771,2B,Josh,Josh Harrison,Harrison,9.039622756670106,106,6500,NYY@OAK,OAK,NYY,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-6029,2B,Jed,Jed Lowrie,Lowrie,8.56101705260196,118,6500,NYY@OAK,OAK,NYY,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-21666,OF,Mark,Mark Canha,Canha,10.834259033203125,108,6500,NYY@OAK,OAK,NYY,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-16945,C,Gary,Gary Sanchez,Sanchez,9.233333333333333,90,6000,NYY@OAK,NYY,OAK,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-82624,C,Sean,Sean Murphy,Murphy,8.69901948816636,102,5500,NYY@OAK,OAK,NYY,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-21584,3B,Rougned,Rougned Odor,Odor,8.00111083984375,90,5500,NYY@OAK,NYY,OAK,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-16981,C,Yan,Yan Gomes,Gomes,8.785526476408306,76,5500,NYY@OAK,OAK,NYY,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-68588,SS,Gleyber,Gleyber Torres,Torres,8.434343434343434,99,5500,NYY@OAK,NYY,OAK,IL,Thumb,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-68554,3B,Andrew,Andrew Velazquez,Velazquez,7.787499904632568,16,5000,NYY@OAK,NYY,OAK,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-38112,3B,Gio,Gio Urshela,Urshela,8.469412051930147,85,5000,NYY@OAK,NYY,OAK,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-5359,SS,Elvis,Elvis Andrus,Andrus,6.542623050877305,122,5000,NYY@OAK,OAK,NYY,,,,,9,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-38252,OF,Stephen,Stephen Piscotty,Piscotty,4.649999830457899,72,4500,NYY@OAK,OAK,NYY,IL,Wrist,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-12462,1B,Mitch,Mitch Moreland,Moreland,6.661728093653549,81,4500,NYY@OAK,OAK,NYY,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-79918,C,Kyle,Kyle Higashioka,Higashioka,6.4792451678581955,53,4500,NYY@OAK,NYY,OAK,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63201-68537,2B,Tyler,Tyler Wade,Wade,4.148749923706054,80,4500,NYY@OAK,NYY,OAK,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
