Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
62174-79168,P,Walker,Walker Buehler,Buehler,41.095238095238095,21,11500,LAD@ARI,LAD,ARI,,,,,,P
62174-16959,P,Trevor,Trevor Bauer,Bauer,43.8235294117647,17,11000,LAD@ARI,LAD,ARI,O,Not injury related,,,,P
62174-5427,P,Clayton,Clayton Kershaw,Kershaw,33.9,20,11000,LAD@ARI,LAD,ARI,IL,Forearm,,,,P
62174-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,36.05882352941177,17,10500,HOU@SF,HOU,SF,,,,,,P
62174-16931,P,Yu,Yu Darvish,Darvish,35.25,20,10300,COL@SD,SD,COL,,,,,,P
62174-38000,P,Kevin,Kevin Gausman,Gausman,40.3,20,10200,HOU@SF,SF,HOU,,,,Yes,,P
62174-73880,P,German,German Marquez,Marquez,33.904761904761905,21,10200,COL@SD,COL,SD,,,,,,P
62174-135212,P,Luis,Luis Garcia,Garcia,31.263157894736842,19,10000,HOU@SF,HOU,SF,,,,,,P
62174-5202,P,Justin,Justin Verlander,Verlander,43,1,10000,HOU@SF,HOU,SF,IL,Elbow,,,,P
62174-52165,P,Sean,Sean Manaea,Manaea,35.80952380952381,21,9800,OAK@LAA,OAK,LAA,,,,,,P
62174-82594,P,Dustin,Dustin May,May,33.4,5,9700,LAD@ARI,LAD,ARI,IL,Elbow,,,,P
62174-110822,P,Jose,Jose Urquidy,Urquidy,29.071428571428573,14,9500,HOU@SF,HOU,SF,IL,Shoulder,,,,P
62174-53067,P,Chris,Chris Bassitt,Bassitt,35.61904761904762,21,9400,OAK@LAA,OAK,LAA,,,,Yes,,P
62174-85599,P,Framber,Framber Valdez,Valdez,34.36363636363637,11,9200,HOU@SF,HOU,SF,,,,Yes,,P
62174-102335,P,Cristian,Cristian Javier,Javier,20.52173913043478,23,9100,HOU@SF,HOU,SF,,,,,,P
62174-102498,P,Patrick,Patrick Sandoval,Sandoval,29.142857142857142,14,8800,OAK@LAA,LAA,OAK,,,,Yes,,P
62174-38028,P,Alex,Alex Wood,Wood,32.64705882352941,17,8800,HOU@SF,SF,HOU,,,,,,P
62174-83098,P,Austin,Austin Gomber,Gomber,28.11111111111111,18,8800,COL@SD,COL,SD,,,,,,P
62174-63781,P,Frankie,Frankie Montas,Montas,32.80952380952381,21,8800,OAK@LAA,OAK,LAA,,,,,,P
62174-52166,P,Julio,Julio Urias,Urias,35,21,8700,LAD@ARI,LAD,ARI,,,,,,P
62174-13123,P,Alex,Alex Cobb,Cobb,29.6,15,8600,OAK@LAA,LAA,OAK,O,Finger,,,,P
62174-70559,P,Mike,Mike Clevinger,Clevinger,29.625,8,8500,COL@SD,SD,COL,IL,Elbow,,,,P
62174-53607,P,Anthony,Anthony DeSclafani,DeSclafani,28.625,24,8400,HOU@SF,SF,HOU,,,,,,P
62174-5522,P,Zack,Zack Greinke,Greinke,29.333333333333332,21,8400,HOU@SF,HOU,SF,,,,,,P
62174-68523,P,Joe,Joe Musgrove,Musgrove,26.48148148148148,27,8400,COL@SD,SD,COL,,,,,,P
62174-52155,P,Jon,Jon Gray,Gray,25.95,20,8400,COL@SD,COL,SD,,,,Yes,,P
62174-85269,P,Cole,Cole Irvin,Irvin,27.2,20,8200,OAK@LAA,OAK,LAA,,,,,,P
62174-68488,P,Blake,Blake Snell,Snell,23.736842105263158,19,8100,COL@SD,SD,COL,,,,,,P
62174-101839,P,Logan,Logan Webb,Webb,25.333333333333332,15,8000,HOU@SF,SF,HOU,,,,,,P
62174-68536,P,James,James Kaprielian,Kaprielian,33.07692307692308,13,7900,OAK@LAA,OAK,LAA,,,,,,P
62174-101881,P,Merrill,Merrill Kelly,Kelly,27.523809523809526,21,7900,LAD@ARI,ARI,LAD,,,,,,P
62174-5498,P,Johnny,Johnny Cueto,Cueto,27.352941176470587,17,7800,HOU@SF,SF,HOU,,,,,,P
62174-52167,P,Andrew,Andrew Heaney,Heaney,28.88888888888889,18,7600,OAK@LAA,LAA,OAK,,,,,,P
62174-80433,P,Dinelson,Dinelson Lamet,Lamet,18.9,10,7500,COL@SD,SD,COL,IL,Forearm,,,,P
62174-17116,P,Jake,Jake Odorizzi,Odorizzi,20.642857142857142,14,7300,HOU@SF,HOU,SF,,,,,,P
62174-102343,P,Tony,Tony Gonsolin,Gonsolin,21,10,7300,LAD@ARI,LAD,ARI,,,,Yes,,P
62174-85251,P,Zac,Zac Gallen,Gallen,24.363636363636363,11,7200,LAD@ARI,ARI,LAD,,,,Yes,,P
62174-81051,P,Caleb,Caleb Smith,Smith,15.206896551724139,29,7000,LAD@ARI,ARI,LAD,,,,,,P
62174-101819,P,Jose,Jose Suarez,Suarez,17.615384615384617,13,7000,OAK@LAA,LAA,OAK,,,,,,P
62174-102395,P,Ryan,Ryan Weathers,Weathers,15.421052631578947,19,7000,COL@SD,SD,COL,,,,Yes,,P
62174-68561,P,Luke,Luke Weaver,Weaver,24.25,8,6900,LAD@ARI,ARI,LAD,IL,Shoulder,,,,P
62174-82582,P,Griffin,Griffin Canning,Canning,18.6875,16,6800,OAK@LAA,LAA,OAK,IL,Back,,,,P
62174-52194,P,Aaron,Aaron Sanchez,Sanchez,22.166666666666668,6,6800,HOU@SF,SF,HOU,,,,,,P
62174-152888,P,Sammy,Sammy Long,Long,20.666666666666668,6,6700,HOU@SF,SF,HOU,,,,,,P
62174-79224,P,Chris,Chris Paddack,Paddack,21.714285714285715,21,6700,COL@SD,SD,COL,,,,,,P
62174-79259,P,Jake,Jake Faria,Faria,9.3,10,6600,LAD@ARI,ARI,LAD,,,,,,P
62174-85265,P,Taylor,Taylor Widener,Widener,22.25,8,6500,LAD@ARI,ARI,LAD,,,,,,P
62174-13444,P,Mike,Mike Fiers,Fiers,11.5,2,6400,OAK@LAA,OAK,LAA,IL,Elbow,,,,P
62174-6311,P,Madison,Madison Bumgarner,Bumgarner,22.11764705882353,17,6400,LAD@ARI,ARI,LAD,,,,,,P
62174-60632,P,Kyle,Kyle Freeland,Freeland,21.333333333333332,12,6400,COL@SD,COL,SD,,,,,,P
62174-102502,P,Josiah,Josiah Gray,Gray,22.5,2,6300,LAD@ARI,LAD,ARI,,,,,,P
62174-79071,P,Taylor,Taylor Clarke,Clarke,5.366666666666666,30,6300,LAD@ARI,ARI,LAD,IL,Shoulder,,,,P
62174-21099,P,Jose,Jose Quintana,Quintana,13.277777777777779,18,6200,OAK@LAA,LAA,OAK,,,,,,P
62174-5784,P,David,David Price,Price,8.407407407407407,27,6200,LAD@ARI,LAD,ARI,,,,,,P
62174-79155,P,Jaime,Jaime Barria,Barria,12.333333333333334,3,6200,OAK@LAA,LAA,OAK,,,,,,P
62174-79209,P,A.J.,A.J. Puk,Puk,22,1,6100,OAK@LAA,OAK,LAA,,,,,,P
62174-85531,P,Josh,Josh James,James,6.076923076923077,13,6000,HOU@SF,HOU,SF,IL,Hamstring,,,,P
62174-16957,P,Dylan,Dylan Bundy,Bundy,14.7,20,6000,OAK@LAA,LAA,OAK,,,,,,P
62174-58434,P,Kendall,Kendall Graveman,Graveman,7.2,30,6000,HOU@SF,HOU,SF,,,,,,P
62174-72265,P,Matt,Matt Strahm,Strahm,4.684210526315789,19,6000,COL@SD,SD,COL,IL,Knee,,,,P
62174-102484,P,Brandon,Brandon Bielak,Bielak,7,23,6000,HOU@SF,HOU,SF,,,,,,P
62174-38164,P,Jimmy,Jimmy Nelson,Nelson,7.62962962962963,27,6000,LAD@ARI,LAD,ARI,,,,,,P
62174-68551,P,Tyler,Tyler Beede,Beede,0,1,6000,HOU@SF,SF,HOU,,,,,,P
62174-79227,P,Adrian,Adrian Morejon,Morejon,8.5,2,5900,COL@SD,SD,COL,IL,Elbow,,,,P
62174-145622,P,Matt,Matt Peacock,Peacock,9.08,25,5800,LAD@ARI,ARI,LAD,,,,,,P
62174-53599,P,Chi Chi,Chi Chi Gonzalez,Gonzalez,14.631578947368421,19,5800,COL@SD,COL,SD,IL,Undisclosed,,,,P
62174-13438,P,Drew,Drew Pomeranz,Pomeranz,5.869565217391305,23,5700,COL@SD,SD,COL,,,,,,P
62174-68517,P,Antonio,Antonio Senzatela,Senzatela,22,17,5700,COL@SD,COL,SD,IL,Undisclosed,,,,P
62174-102334,P,Corbin,Corbin Martin,Martin,10.25,4,5700,LAD@ARI,ARI,LAD,,,,,,P
62174-102505,P,Edwin,Edwin Uceta,Uceta,5.363636363636363,11,5600,LAD@ARI,LAD,ARI,,,,,,P
62174-156272,P,Reiss,Reiss Knehr,Knehr,14,1,5600,COL@SD,SD,COL,,,,,,P
62174-73363,P,Felix,Felix Pena,Pena,-5,2,5600,OAK@LAA,LAA,OAK,,,,,,P
62174-80566,P,Seth,Seth Frankoff,Frankoff,8,4,5600,LAD@ARI,ARI,LAD,IL,Forearm,,,,P
62174-79117,P,Peter,Peter Lambert,Lambert,,,5600,COL@SD,COL,SD,IL,Elbow,,,,P
62174-119298,P,Luis,Luis Frias,Frias,,,5500,LAD@ARI,ARI,LAD,,,,,,P
62174-85517,P,Trey,Trey Wingenter,Wingenter,,,5500,COL@SD,SD,COL,IL,Elbow,,,,P
62174-79895,P,Miguel,Miguel Diaz,Diaz,9.941176470588236,17,5500,COL@SD,SD,COL,,,,,,P
62174-5658,P,Joakim,Joakim Soria,Soria,4.67741935483871,31,5500,LAD@ARI,ARI,LAD,,,,,,P
62174-155687,P,Andrew,Andrew Wantz,Wantz,8.5,4,5500,OAK@LAA,LAA,OAK,,,,,,P
62174-135209,P,Andre,Andre Scrubb,Scrubb,5.277777777777778,18,5500,HOU@SF,HOU,SF,IL,Shoulder,,,,P
62174-135214,P,Ralph,Ralph Garza Jr.,Garza Jr.,7.333333333333333,9,5500,HOU@SF,HOU,SF,,,,,,P
62174-5680,P,Neftali,Neftali Feliz,Feliz,-1.5,2,5500,LAD@ARI,LAD,ARI,,,,,,P
62174-79927,P,Stefan,Stefan Crichton,Crichton,2.310344827586207,29,5500,LAD@ARI,ARI,LAD,,,,,,P
62174-82998,P,Lou,Lou Trivino,Trivino,5.782608695652174,46,5500,OAK@LAA,OAK,LAA,,,,,,P
62174-21565,P,Ryan,Ryan Buchter,Buchter,3.5,16,5500,LAD@ARI,ARI,LAD,,,,,,P
62174-156220,P,Darien,Darien Nunez,Nunez,6.2,5,5500,LAD@ARI,LAD,ARI,,,,,,P
62174-102469,P,Ben,Ben Bowden,Bowden,4.115384615384615,26,5500,COL@SD,COL,SD,,,,,,P
62174-38982,P,Noe,Noe Ramirez,Ramirez,4.555555555555555,18,5500,LAD@ARI,ARI,LAD,,,,,,P
62174-11335,P,Jay,Jay Jackson,Jackson,8.5,6,5500,HOU@SF,SF,HOU,,,,,,P
62174-80460,P,John,John Brebbia,Brebbia,4.285714285714286,14,5500,HOU@SF,SF,HOU,,,,,,P
62174-102476,P,Bernardo,Bernardo Flores Jr.,Flores Jr.,-3,1,5500,COL@SD,COL,SD,,,,,,P
62174-119375,P,Dedniel,Dedniel Nunez,Nunez,,,5500,HOU@SF,SF,HOU,IL,Elbow,,,,P
62174-135253,P,Alex,Alex Vesia,Vesia,6.117647058823529,17,5500,LAD@ARI,LAD,ARI,,,,,,P
62174-80478,P,Reymin,Reymin Guduan,Guduan,2.5454545454545454,11,5500,OAK@LAA,OAK,LAA,,,,,,P
62174-82528,P,Jon,Jon Duplantier,Duplantier,4.5,4,5500,LAD@ARI,ARI,LAD,O,Lat,,,,P
62174-73828,P,Dan,Dan Altavilla,Altavilla,3.5,2,5500,COL@SD,SD,COL,IL,Elbow,,,,P
62174-5743,P,Yusmeiro,Yusmeiro Petit,Petit,4.38,50,5500,OAK@LAA,OAK,LAA,,,,,,P
62174-135283,P,Ty,Ty Tice,Tice,5.5,6,5500,LAD@ARI,ARI,LAD,,,,,,P
62174-85107,P,James,James Norwood,Norwood,5.25,4,5500,COL@SD,SD,COL,,,,,,P
62174-38007,P,Jose,Jose Alvarez,Alvarez,4.833333333333333,36,5500,HOU@SF,SF,HOU,,,,,,P
62174-70271,P,Carlos,Carlos Estevez,Estevez,4.324324324324325,37,5500,COL@SD,COL,SD,,,,,,P
62174-52865,P,Corey,Corey Knebel,Knebel,5.25,8,5500,LAD@ARI,LAD,ARI,IL,Lat,,,,P
62174-54403,P,Trevor,Trevor Gott,Gott,1.7333333333333334,15,5500,HOU@SF,SF,HOU,,,,,,P
62174-82565,P,Ryan,Ryan Castellani,Castellani,10,1,5500,COL@SD,COL,SD,,,,,,P
62174-82564,P,Yency,Yency Almonte,Almonte,2.032258064516129,31,5500,COL@SD,COL,SD,IL,Undisclosed,,,,P
62174-135303,P,Jordan,Jordan Weems,Weems,1.1428571428571428,7,5500,LAD@ARI,ARI,LAD,,,,,,P
