Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
62555-52147,3B,Kris,Kris Bryant,Bryant,10.996039362237005,101,9500,ARI@SF,SF,ARI,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-21853,2B,Ketel,Ketel Marte,Marte,10.3227275501598,44,9000,ARI@SF,ARI,SF,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-53033,OF,Mike,Mike Yastrzemski,Yastrzemski,10.05638284886137,94,8500,ARI@SF,SF,ARI,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-6292,C,Buster,Buster Posey,Posey,10.984931841288528,73,8000,ARI@SF,SF,ARI,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-12900,1B,Brandon,Brandon Belt,Belt,11.194915254237289,59,7500,ARI@SF,SF,ARI,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-38218,1B,Christian,Christian Walker,Walker,7.6263885498046875,72,7000,ARI@SF,ARI,SF,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-12961,SS,Brandon,Brandon Crawford,Crawford,11.66304347826087,92,7000,ARI@SF,SF,ARI,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-73871,C,Carson,Carson Kelly,Kelly,8.848276072535022,58,6500,ARI@SF,ARI,SF,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-101787,OF,LaMonte,LaMonte Wade Jr.,Wade Jr.,9.875,60,6500,ARI@SF,SF,ARI,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-13638,2B,Wilmer,Wilmer Flores,Flores,7.587128592009591,101,6000,ARI@SF,SF,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-113309,2B,Josh,Josh Rojas,Rojas,9.129032258064516,93,6000,ARI@SF,ARI,SF,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-13924,OF,Kole,Kole Calhoun,Calhoun,7.0941175573012405,34,6000,ARI@SF,ARI,SF,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-14000,OF,Darin,Darin Ruf,Ruf,7.599999698591821,81,6000,ARI@SF,SF,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-13412,2B,Donovan,Donovan Solano,Solano,7.3493825653452935,81,5500,ARI@SF,SF,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-5221,3B,Asdrubal,Asdrubal Cabrera,Cabrera,8.098684210526315,76,5500,ARI@SF,ARI,SF,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-5189,OF,Josh,Josh Reddick,Reddick,5.694444444444445,54,5000,ARI@SF,ARI,SF,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-79238,OF,Steven,Steven Duggar,Duggar,7.339759183217244,83,5000,ARI@SF,SF,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-53586,OF,David,David Peralta,Peralta,7.791346036470854,104,5000,ARI@SF,ARI,SF,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-82530,1B,Pavin,Pavin Smith,Smith,8.347999877929688,100,5000,ARI@SF,ARI,SF,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-5607,3B,Evan,Evan Longoria,Longoria,10.49199951171875,50,5000,ARI@SF,SF,ARI,IL,Shoulder,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-38952,OF,Alex,Alex Dickerson,Dickerson,6.6523252975109015,86,5000,ARI@SF,SF,ARI,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-17012,C,Curt,Curt Casali,Casali,6.820754716981132,53,5000,ARI@SF,SF,ARI,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-104085,2B,Josh,Josh VanMeter,VanMeter,5.256338200099032,71,4500,ARI@SF,ARI,SF,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-82533,C,Daulton,Daulton Varsho,Varsho,6.634615384615385,52,4500,ARI@SF,ARI,SF,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-21612,SS,Nick,Nick Ahmed,Ahmed,6.525,100,4500,ARI@SF,ARI,SF,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62555-17198,3B,Tommy,Tommy La Stella,La Stella,5.266666666666667,30,4500,ARI@SF,SF,ARI,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
