Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
62539-79273,1B,Vladimir,Vladimir Guerrero Jr.,Guerrero Jr.,14.497195805344626,107,9500,LAA@TOR,TOR,LAA,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-82440,OF,Shohei,Shohei Ohtani,Ohtani,13.833027970900229,109,9000,LAA@TOR,LAA,TOR,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-16983,OF,George,George Springer,Springer,13.899999709356399,42,8500,LAA@TOR,TOR,LAA,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-12933,OF,Mike,Mike Trout,Trout,12.627777947319878,36,8000,LAA@TOR,LAA,TOR,IL,Calf,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-82654,SS,Bo,Bo Bichette,Bichette,12.682242990654206,107,8000,LAA@TOR,TOR,LAA,DTD,Lower leg,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-21705,2B,Marcus,Marcus Semien,Semien,12.7166668927228,108,7500,LAA@TOR,TOR,LAA,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-104483,1B,Jared,Jared Walsh,Walsh,10.80309303519652,97,7000,LAA@TOR,LAA,TOR,IL,Chest,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-13436,C,Max,Max Stassi,Stassi,9.683333785445601,54,7000,LAA@TOR,LAA,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-73023,OF,Teoscar,Teoscar Hernandez,Hernandez,11.59325897559691,89,7000,LAA@TOR,TOR,LAA,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-6197,OF,Justin,Justin Upton,Upton,9.561538305038061,78,6500,LAA@TOR,LAA,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-13909,OF,Randal,Randal Grichuk,Grichuk,9.032381184895833,105,6000,LAA@TOR,TOR,LAA,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-79156,2B,David,David Fletcher,Fletcher,8.81682265807535,107,6000,LAA@TOR,LAA,TOR,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-82580,OF,Jo,Jo Adell,Adell,10.90000025431315,6,5500,LAA@TOR,LAA,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62539-79151,3B,Taylor,Taylor Ward,Ward,8.725397019159226,63,5500,LAA@TOR,LAA,TOR,DTD,Ribs,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
