Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
62818-60643,OF,Aaron,Aaron Judge,Judge,11.758654080904448,104,9500,BOS@NYY,NYY,BOS,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-68585,3B,Rafael,Rafael Devers,Devers,12.820353550193584,113,9000,BOS@NYY,BOS,NYY,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-13540,OF,J.D.,J.D. Martinez,Martinez,12.359632579558486,109,8500,BOS@NYY,BOS,NYY,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-12940,1B,Anthony,Anthony Rizzo,Rizzo,9.948514730623453,101,8000,BOS@NYY,NYY,BOS,IL,Illness,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-37982,SS,Xander,Xander Bogaerts,Bogaerts,11.473873653927365,111,8000,BOS@NYY,BOS,NYY,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-60631,OF,Kyle,Kyle Schwarber,Schwarber,12.358108108108109,74,7500,BOS@NYY,BOS,NYY,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-16945,C,Gary,Gary Sanchez,Sanchez,9.40595209030878,84,7500,BOS@NYY,NYY,BOS,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-13567,2B,DJ,DJ LeMahieu,LeMahieu,9.311607360839844,112,7500,BOS@NYY,NYY,BOS,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-12302,OF,Giancarlo,Giancarlo Stanton,Stanton,10.05567035478415,97,7000,BOS@NYY,NYY,BOS,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-13792,2B,Kike,Kike Hernandez,Hernandez,10.253921807981005,102,7000,BOS@NYY,BOS,NYY,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-38321,OF,Joey,Joey Gallo,Gallo,11.520536150251116,112,6500,BOS@NYY,NYY,BOS,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-54068,OF,Hunter,Hunter Renfroe,Renfroe,10.373831775700934,107,6500,BOS@NYY,BOS,NYY,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-80838,1B,Luke,Luke Voit,Voit,8.58648681640625,37,6000,BOS@NYY,NYY,BOS,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-68588,SS,Gleyber,Gleyber Torres,Torres,8.434343434343434,99,6000,BOS@NYY,NYY,BOS,IL,Thumb,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-79160,OF,Alex,Alex Verdugo,Verdugo,9.80373831775701,107,6000,BOS@NYY,BOS,NYY,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-85249,1B,Bobby,Bobby Dalbec,Dalbec,7.900000254313151,96,5500,BOS@NYY,BOS,NYY,,,,,9,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-38112,3B,Gio,Gio Urshela,Urshela,8.534524100167411,84,5500,BOS@NYY,NYY,BOS,IL,Hamstring,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-5948,OF,Brett,Brett Gardner,Gardner,6,100,5500,BOS@NYY,NYY,BOS,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-21584,3B,Rougned,Rougned Odor,Odor,8.241975007233796,81,5000,BOS@NYY,NYY,BOS,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-13858,C,Christian,Christian Vazquez,Vazquez,7.106862984451593,102,5000,BOS@NYY,BOS,NYY,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-119311,OF,Jarren,Jarren Duran,Duran,7.372727134011009,22,4500,BOS@NYY,BOS,NYY,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-79918,C,Kyle,Kyle Higashioka,Higashioka,6.05,50,4500,BOS@NYY,NYY,BOS,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-68537,2B,Tyler,Tyler Wade,Wade,3.81891900139886,74,4500,BOS@NYY,NYY,BOS,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-13894,OF,Aaron,Aaron Hicks,Hicks,7.706250190734863,32,4000,BOS@NYY,NYY,BOS,IL,Wrist,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-79115,OF,Greg,Greg Allen,Allen,9.586666870117188,15,4000,BOS@NYY,NYY,BOS,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-80459,OF,Franchy,Franchy Cordero,Cordero,4.231914763754987,47,4000,BOS@NYY,BOS,NYY,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62818-82251,OF,Tim,Tim Locastro,Locastro,3.9921875,64,4000,BOS@NYY,NYY,BOS,IL,Knee,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
