Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
62859-79273,1B,Vladimir,Vladimir Guerrero Jr.,Guerrero Jr.,14.049564792798913,115,9500,TOR@WSH,TOR,WSH,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-16983,OF,George,George Springer,Springer,13.579166412353516,48,9000,TOR@WSH,TOR,WSH,IL,Knee,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-79282,OF,Juan,Juan Soto,Soto,12.329245513340211,106,9000,TOR@WSH,WSH,TOR,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-21705,2B,Marcus,Marcus Semien,Semien,12.579309923895474,116,8500,TOR@WSH,TOR,WSH,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-53994,1B,Josh,Josh Bell,Bell,9.623762376237623,101,8000,TOR@WSH,WSH,TOR,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-82654,SS,Bo,Bo Bichette,Bichette,12.361062379009956,113,7500,TOR@WSH,TOR,WSH,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-68563,OF,Victor,Victor Robles,Robles,6.373737373737374,99,7000,TOR@WSH,WSH,TOR,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-73023,OF,Teoscar,Teoscar Hernandez,Hernandez,12.420619060083762,97,7000,TOR@WSH,TOR,WSH,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-82659,3B,Carter,Carter Kieboom,Kieboom,7.5363637750799,22,6500,TOR@WSH,WSH,TOR,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-79272,OF,Lourdes,Lourdes Gurriel Jr.,Gurriel Jr.,8.479208162515471,101,6500,TOR@WSH,TOR,WSH,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-5445,3B,Alcides,Alcides Escobar,Escobar,9.103226200226814,31,6000,TOR@WSH,WSH,TOR,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-13909,OF,Randal,Randal Grichuk,Grichuk,8.832743146778208,113,6000,TOR@WSH,TOR,WSH,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-102577,SS,Santiago,Santiago Espinal,Espinal,5.379452222014127,73,5500,TOR@WSH,TOR,WSH,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-135224,OF,Yadiel,Yadiel Hernandez,Hernandez,5.164865029824747,74,5500,TOR@WSH,WSH,TOR,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-119444,C,Alejandro,Alejandro Kirk,Kirk,6.983333333333333,30,5000,TOR@WSH,TOR,WSH,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-82660,2B,Luis,Luis Garcia,Garcia,6.210714067731585,28,5000,TOR@WSH,WSH,TOR,,,,,7,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-52182,C,Reese,Reese McGuire,McGuire,5.172580842048891,62,4500,TOR@WSH,TOR,WSH,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-102584,C,Tres,Tres Barrera,Barrera,6.3038459190955525,26,4500,TOR@WSH,WSH,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-5122,C,Alex,Alex Avila,Avila,6.033333460489909,24,4000,TOR@WSH,WSH,TOR,IL,Calf,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-5062,1B,Ryan,Ryan Zimmerman,Zimmerman,6.3275001525878904,80,4000,TOR@WSH,WSH,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-12168,2B,Starlin,Starlin Castro,Castro,7.413793103448276,87,4000,TOR@WSH,WSH,TOR,NA,Not injury related,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-101844,OF,Lane,Lane Thomas,Thomas,2.502941131591797,34,4000,TOR@WSH,WSH,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-80855,2B,Adrian,Adrian Sanchez,Sanchez,3.9799999237060546,10,4000,TOR@WSH,WSH,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-85277,3B,Cavan,Cavan Biggio,Biggio,7.384210686934622,76,4000,TOR@WSH,TOR,WSH,IL,Back,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-81948,SS,Breyvic,Breyvic Valera,Valera,3.706249952316284,16,4000,TOR@WSH,TOR,WSH,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-82655,C,Danny,Danny Jansen,Jansen,5.187755039760044,49,4000,TOR@WSH,TOR,WSH,IL,Hamstring,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-82593,C,Keibert,Keibert Ruiz,Ruiz,3.116666793823242,6,4000,TOR@WSH,WSH,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-5473,OF,Gerardo,Gerardo Parra,Parra,4.6724998474121096,40,4000,TOR@WSH,WSH,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-110306,SS,Humberto,Humberto Arteaga,Arteaga,3.5,1,4000,TOR@WSH,WSH,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-13098,C,Rene,Rene Rivera,Rivera,6.004000244140625,25,4000,TOR@WSH,WSH,TOR,O,Elbow,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-79279,OF,Andrew,Andrew Stevenson,Stevenson,3.6960525512695312,76,4000,TOR@WSH,WSH,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-70574,OF,Jared,Jared Hoying,Hoying,0,2,4000,TOR@WSH,TOR,WSH,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-135282,OF,Josh,Josh Palacios,Palacios,7.240000152587891,10,4000,TOR@WSH,TOR,WSH,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-148210,OF,Cody,Cody Wilson,Wilson,0,1,4000,TOR@WSH,WSH,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-135223,C,Jakson,Jakson Reetz,Reetz,4.599999904632568,2,4000,TOR@WSH,WSH,TOR,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-135284,C,Riley,Riley Adams,Adams,5.109090978449041,22,4000,TOR@WSH,WSH,TOR,,,,,8,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-13687,3B,Jordy,Jordy Mercer,Mercer,4.243243243243243,37,4000,TOR@WSH,WSH,TOR,IL,Calf,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
62859-38074,OF,Corey,Corey Dickerson,Dickerson,7.2213330078125,75,4000,TOR@WSH,TOR,WSH,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
